imya	number	another
Wardaman	78	15
Kaurna	8	100
Liyagalawumirr	87	7
Chadic	6	84
Bhojpuri	102	4
Ganalbingu	110	6
Frisian	31	75
Kuninjku	9	92
North Germanic	18	99
Na-kara	0	109
Wangurri	82	40
Yorta Yorta	3	110
Iban	6	114
Yawuru	19	110
Dhalwangu	92	21
Nyikina	96	31
Wambaya	67	56
Dzonkha	90	20
Lacandón	6	82
Lardil	0	132
Mangala	107	32
Votic	68	68
Themne	0	139
Krahn	0	140
Negidalt	86	62
Loma	0	149
Turkic, nec	0	157
Bassa	0	160
Kiliwa	8	64
Itelmen	54	110
Ulwa	40	126
Djapu	167	6
Mann	0	176
Gudanji	126	52
Galpu	63	96
Gumbaynggir	51	126
Mudburra	162	11
Tofalar	164	22
Acehnese	0	198
Anmatyerr, nfd	187	15
Udihe	118	88
Gamilaraay	26	170
Dravidian	6	201
Banyjima	174	45
Djinang, nfd	86	129
Kagate	166	32
Bandjalang	46	181
Kusunda	44	12
Gumatj	159	76
Dravidian, nec	0	235
