imya	number	another
Hindi	642292751	203097474
English	101199189.678	376264375.172
Russian	80986169	257697181
Spanish	51221416	194621525.278
Thai	135882445	88828557
Bengali	126622233	40905866
Polish	29999324	49006200
Telugu	106942122	41217469
Marathi	94883235	49063781
Javanese	75001253	61442540
Tamil	70343679	55893878
Urdu	48312636	57058762
Gujarati	56828592	36090629
Indonesian	14792488	71150755
French	15240374.097	51527699.5288
Romanian	35588078	40584397
Kannada	56009750	19879217
Ukrainian	28327918	40552844
Malayalam	46909398	19414178
Oriya	55932124	10105711
Sundanese	30922338	33955620
Punjabi	38196967	23636420
Nepali	23222572	6375430
Oromigna	44763926	5096922
Khmer	38662604	9283070
Hungarian	17190337	29571552
German	12422213	29928026.5894
Amharigna	31854202	11420833
Arabic	12842958.4521	25125806.322
Czech	10353962	28025082
