imya	number	another
Hindi	400061111	445472880
English	264829661.403	255630036.447
Russian	182442628	156898512
Spanish	126287260.744	120057378.533
Thai	114902832	109825750
Bengali	81352055	86201606
Telugu	73268460	74893970
Marathi	70149651	73797408
Javanese	68266082	68177709
Tamil	62447225	63826327
Polish	60278727	56410927
Urdu	50624312	54931113
Gujarati	44947055	47972232
Indonesian	42655873	43313653
Romanian	39069385	37130535
Kannada	37264349	38624633
French	37745589.3595	35983806.2662
Ukrainian	37207001	31891852
Malayalam	33992206	32331444
Oriya	32319314	33718684
Sundanese	31841694	33036264
Punjabi	29435806	32603983
Oromigna	24791896	25068952
Khmer	24754839	23208812
Hungarian	24588486	22209762
German	22691056.8632	20458004.7262
